,title,description
56340,Reel Zombies,"Independent Zombie Film makers, Producer Mike Masters and Director David J. Francis, the team behind the commercially unsuccessful Zombie Night 1 and 2, have found the climate for Zombie ..."
56347,Sculpture,"An aspiring artist is commissioned to create a life-size sculpture of some perfect men, but soon finds herself spiraling down a path of unspeakable psychopathic terror and murder as she frantically tries to complete her masterpiece."
56357,No moriré sola,"Four young women ride together in the remote countryside of La Plata. On the way, they witness a crime. A local gang of trash shot a girl and left her for dead. The friends drag the victim ..."
56359,Snarveien,"Explore your worst possible fears in this shocking horror thriller inspired by terrifying true events! Driving back to Norway, Lina and Martin reach a roadblock where a policeman tells them..."
56363,Colin,Our hero Colin is bitten by a Zombie; he dies and returns from the dead. We follow him as he wanders through suburbia during the throes of a cadaverous apocalypse.
56366,Dead Snow,"A ski vacation turns horrific for a group of medical students, as they find themselves confronted by an unimaginable menace: Nazi zombies."
56382,Trail of Blood,While camping seven friends stumble upon the murdered bodies of a vacationing couple and soon find they are fighting for their lives against a sadistic killer.
56398,Breaking Nikki,"A call girl is hired to play the part of a client's ex-wife. However, little does she realize that she is the victim of his dark revenge, as she finds herself trapped in a sick game that is about to spiral bloodily out of control."
56417,The Brotherhood V: Alumni,"When a group of pretty alumnae from Sunnydale High school receive invitations for a reunion at their alma mater, the fallout from an unsolved murder on their prom night comes back to haunt ..."
56429,Zombie Lover,"A genre-bending tale of a boy trying to fulfill his unrequited love for a girl who has risen from the dead. It tells the story of twin brothers Patrick and Carol Darling, newly graduated ..."
56441,The Strangers: Prey at Night,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.
56442,Summer's Moon,A family of serial killers stalk a young woman out to find the father she's never known.
56451,Dark Nature,A family holiday turns into a fight for survival in the inhospitable wilderness of remote Scotland.
56452,Deadfall Trail,"The tough, no-nonsense Julian and his more laid-back friend John are a couple of veteran campers who decide to embark on a no-frills expedition into the deep Arizona wilderness. Obnoxious ..."
56453,Ghosts Don't Exist,A ghost hunter's final case before retiring leads him down a dark and potentially deadly path.
56455,Dans ton sommeil,"Sarah and her husband have moved to a house in the country; their son, Loic, a college student, chaffs at the isolation and a tragedy occurs. A year later, Sarah lives alone in the house; ..."
56484,Necromentia,Explores the use of a tattooed Ouija Board through the lives and perspectives of 4 people.
56495,The Echo Game,A young mother must protect her daughter from a rogue scientist on a murderous rampage to steal the girl's psychic powers for herself.
56499,Squeal,"When band members are stranded on a country road, excitement of their first tour is diminished by the horrors of a science experiment gone awry. Their pig-human hybrid mutant captors have ..."
56508,Stagger,"Set in the Suffolk rave culture as the film follows two gangs one from the London J1 crew as they battle with each other for the control of a new Bio-Drug, Stagger."
56509,La casa,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
56515,Cell 213 - La dannazione,God and the Devil battle for the soul of a cocky lawyer.
56519,The Forbidden Door,The life of a successful sculptor named is turned upside down when he began receiving mysterious messages from someone who asked for his help.
56562,Vampire in Vegas,"When a 300-year-old vampire hires a genetic scientist to research a cure, she inadvertently unleashes a scourge of vampires upon unsuspecting party-goers in Las Vegas."
56568,4bia,"4BIA is a Horror Anthology. The first segment, ""Happiness"" is about a lonely girl who corresponded with a stranger over hand phone text messaging and soon discovered something strange about..."
56578,Gingerdead Man 3: Saturday Night Cleaver,The gingerdead man travels back in time to 1976 and carries out an epic disco killing spree.
56589,The Ghosts of Crowley Hall,"'The Ghosts of Crowley Hall' is the documentary about the Paranormal Investigation that was carried out at Crowley Hall, England in the summer of 2007."
56617,Sennentuntschi,"Three lonely herdsmen starved of female companionship creates the girl of their dreams, from a broom, some straw and a few rags. The creation - Sennentuntschi, lives and breathe to cook, clean and look after the three."
56629,Wake Wood,The parents of a girl who was killed by a savage dog are granted the opportunity to spend three days with their deceased daughter.
56634,Psycho Sleepover,"After accidentally murdering her boyfriend, Debbie Dicky moves to a new town and meets three girls who invite her to a sleepover. The very same night there is a breakout at the local insane..."
56641,Resurrection County,"When travelling through Resurrection County, mind the signs, one false move out there could be your last. When four suburbanite campers roll into the remote town of Enoch, they find that ..."
56647,The Presence,A woman travels to an isolated cabin she begins to think she is losing her mind when her boyfriend comes to stay.
56653,Closed for the Season,"Trapped in a forgotten amusement park, a young woman (Kristy) finds herself terrorized by the living memories of the park. She must break free from the park's grasp before she becomes its next victim."
56667,Growth - Terrore sotto la pelle,"Twenty years after a deadly outbreak of parasites at an island research facility, where most of the people were killed, survivor Jamie returns with her friends to sell her stake. But a new strain of parasite could blow the transaction."
